MM FASHION LTD.,,,,,,,,, Cash On Hand 
 Cash Book ,,,,,,,,, -   
Credit/Inward,,,,Debit/Outward,,,,,
Date,Catagories,Pariculars, Amount Tk. ,Date,Catagories,Supplier,Buyer,Particulars, Amount Tk. 
,,,,10-03-25,Convence,,,"adl, wear vibes, embridery factory, brooklyn"," 2,950 "
,,,,10-03-25,Advance Salary,,,mostofa feb'25," 14,000 "
,,,,10-03-25,Convence,,,"mazar, tongi mostofa", 590 
,,,,10-03-25,Factory Maintance,,,Toilieties item, 730 
,,,,10-03-25,Carriage Bill,,,loader bill, 500 
,,,,10-03-25,Office Maintance,,,"notice board, pin file"," 2,170 "
,,,,10-03-25,Factory Maintance,,,"cutter, GSM board, file"," 1,040 "
,,,,10-03-25,Machine spare parts,,,Needle," 7,420 "
,,,,10-03-25,Accessories Bill,, Urbo,Molecule: Thread, 280 
,,,,10-03-25,Accessories Bill,, Urbo,sample section thread, 820 
,,,,10-03-25,Factory Maintance,,,"blister poly, tissue, mom, zipper guid"," 8,474 "
,,,,10-03-25,Machine spare parts,,,mould, 450 
,,,,10-03-25,Tiffin Bill,,,16 person iftari, 900 
,,,,10-03-25,Accessories Bill,Sarowat Accessories,,previous bill urbo," 100,000 "
,,,,10-03-25,Advance Salary,,,Akram(patternman) feb'25," 2,000 "
11-03-2025,Loan A/C Chairman,," 1,910 ",11-03-25,Tiffin Bill,,,Iftari sample man 8 person, 400 
11-03-2025,Received: Brooklyn BD,joggers shipment," 190,000 ",11-03-25,Loan Debit ,,,payment received frm brooklyn to chairman sir," 190,000 "
,,,,11-03-25,Office Maintance,,,calling bell, 710 
,,,,11-03-25,Carriage Bill,,,loader bill machine transfer, 300 
,,,,11-03-25,Tiffin Bill,,,iftar bill sample section, 500 
12-03-2025,Loan A/C Chairman,," 2,000 ",12-03-25,Factory Papers,,,hamid convence," 2,000 "
13-03-2025,Loan A/C Chairman,," 853,500 ",13-03-25,Fabric- Purchase,Ma Traders,Wear Vibes,TT order fabric," 300,000 "
,,,,13-03-25,Machine- Purchase,Babul Enterprise,,machine purpose," 500,000 "
,,,,13-03-25,Advance Salary,,,belal (PatternMaster) feb'25," 3,000 "
,,,,13-03-25,Factory Papers,,,hamid," 25,500 "
,,,,13-03-25,Accessories Bill,Sarowat Accessories,,previous bill," 25,000 "
15-03-2025,Loan A/C Chairman,," 97,325 ",15-03-25,Machine spare parts,,,"spnap button mole, Needle"," 1,280 "
,,,,15-03-25,convence,,,Mostofa buying house Adl, 300 
,,,,15-03-25,Factory Maintance,,,"med, mop, sign pen", 665 
,,,,15-03-25,Advance Salary,,,Akram (Pattern man)," 15,000 "
,,,,15-03-25,Convence,,,"shamim (11 mar), (12 Mar)", 320 
,,,,15-03-25,Factory Maintance,,,GI wire, 50 
